scheme_code,nav_value,date
150930,9.6803,2023-04-24
150930,9.6814,2023-04-25
150930,9.6808,2023-04-26
150930,9.7285,2023-04-27
150930,9.8017,2023-04-28
150930,9.7819,2023-05-02
150930,9.7779,2023-05-03
150930,9.8308,2023-05-04
150930,9.7949,2023-05-05
150930,9.8369,2023-05-08
150930,9.8783,2023-05-09
150930,9.8795,2023-05-10
150930,9.7553,2023-05-11
150930,9.7005,2023-05-12
150930,9.7009,2023-05-15
150930,9.6755,2023-05-16
150930,9.6324,2023-05-17
150930,9.5104,2023-05-18
150930,9.4195,2023-05-19
150930,9.5126,2023-05-22
150930,9.5465,2023-05-23
150930,9.6412,2023-05-24
150930,9.6528,2023-05-25
150930,9.7563,2023-05-26
150930,9.7738,2023-05-29
150930,9.7589,2023-05-30
150930,9.8145,2023-05-31
150930,9.9191,2023-06-01
150930,9.984,2023-06-02
150930,10.0091,2023-06-05
150930,10.0694,2023-06-06
150930,10.0946,2023-06-07
150930,9.9911,2023-06-08
150930,9.9517,2023-06-09
150930,9.9476,2023-06-12
150930,10.0536,2023-06-13
150930,10.0395,2023-06-14
150930,10.1796,2023-06-15
150930,10.2437,2023-06-16
150930,10.2603,2023-06-19
150930,10.2389,2023-06-20
150930,10.2446,2023-06-21
150930,10.1833,2023-06-22
150930,10.1965,2023-06-23
150930,10.3525,2023-06-26
150930,10.3811,2023-06-27
150930,10.5316,2023-06-28
150930,10.6424,2023-06-30
150930,10.5236,2023-07-03
150930,10.5695,2023-07-04
150930,10.6441,2023-07-05
150930,10.7207,2023-07-06
150930,10.6416,2023-07-07
150930,10.6279,2023-07-10
150930,10.7489,2023-07-11
150930,10.7807,2023-07-12
150930,10.7345,2023-07-13
150930,10.7898,2023-07-14
150930,10.8719,2023-07-17
150930,10.8427,2023-07-18
150930,10.901,2023-07-19
150930,11.0623,2023-07-20
150930,11.0571,2023-07-21
150930,11.1014,2023-07-24
150930,11.1394,2023-07-25
150930,11.2119,2023-07-26
150930,11.5511,2023-07-27
150930,11.5972,2023-07-28
150930,11.6197,2023-07-31
150930,11.6266,2023-08-01
150930,11.5818,2023-08-02
150930,11.6999,2023-08-03
150930,11.8091,2023-08-04
150930,11.9933,2023-08-07
150930,12.0654,2023-08-08
150930,12.1496,2023-08-09
150930,12.0524,2023-08-10
150930,11.8864,2023-08-11
150930,11.8452,2023-08-14
150930,11.9176,2023-08-16
150930,11.8196,2023-08-18
150930,11.8641,2023-08-21
150930,11.8417,2023-08-22
150930,11.8262,2023-08-23
150930,11.757,2023-08-24
150930,11.6275,2023-08-25
150930,11.7322,2023-08-28
150930,11.7006,2023-08-29
150930,11.7039,2023-08-30
150930,11.6809,2023-08-31
